seq_index,start_position,end_position,is_reversed_complement
4575,52,58,0
4575,99,105,0
1955,118,124,0
2349,53,59,0
2349,78,84,0
2349,152,158,0
3405,39,45,0
3405,99,105,0
3405,115,121,0
2840,8,14,0
2840,131,137,0
2875,43,49,0
2875,51,57,0
686,6,12,0
184,31,37,0
184,97,103,0
184,124,130,0
1089,87,93,0
3292,3,9,0
3292,54,60,0
3292,66,72,0
3292,90,96,0
3292,112,118,0
421,82,88,0
421,91,97,0
421,103,109,0
182,68,74,0
182,128,134,0
1822,20,26,0
1822,38,44,0
1822,44,50,0
4029,18,24,0
4029,52,58,0
550,91,97,0
550,150,156,0
3323,139,145,0
5434,89,95,0
729,28,34,0
729,120,126,0
729,123,129,0
729,144,150,0
3162,32,38,0
1049,29,35,0
1275,34,40,0
1275,77,83,0
1275,110,116,0
801,60,66,0
2988,52,58,0
3761,9,15,0
4356,58,64,0
102,47,53,0
102,66,72,0
102,74,80,0
102,113,119,0
525,9,15,0
525,45,51,0
525,53,59,0
525,90,96,0
4737,8,14,0
58,151,157,0
5639,22,28,0
5639,89,95,0
1170,18,24,0
1170,27,33,0
2449,65,71,0
365,7,13,0
365,43,49,0
365,56,62,0
1101,59,65,0
1387,25,31,0
1387,34,40,0
2745,60,66,0
2745,97,103,0
2745,119,125,0
4526,27,33,0
4526,48,54,0
4526,56,62,0
4526,77,83,0
4526,98,104,0
4526,101,107,0
3291,40,46,0
4237,25,31,0
4237,135,141,0
3650,2,8,0
3650,36,42,0
3650,44,50,0
3650,81,87,0
3650,88,94,0
2919,48,54,0
2919,97,103,0
2782,59,65,0
2782,80,86,0
484,23,29,0
484,68,74,0
484,109,115,0
5857,111,117,0
5857,135,141,0
3569,6,12,0
3569,9,15,0
3569,38,44,0
3569,75,81,0
5034,60,66,0
5491,9,15,0
5491,35,41,0
5491,101,107,0
5491,132,138,0
3287,10,16,0
3287,54,60,0
3287,95,101,0
1872,30,36,0
1872,56,62,0
1525,12,18,0
1525,24,30,0
1768,6,12,0
1768,132,138,0
1768,138,144,0
435,70,76,0
3381,111,117,0
5454,22,28,0
453,72,78,0
2981,26,32,0
4950,32,38,0
4950,100,106,0
205,80,86,0
205,84,90,0
3043,95,101,0
1051,10,16,0
1373,20,26,0
2774,35,41,0
2774,55,61,0
4782,35,41,0
4271,23,29,0
4271,68,74,0
4271,101,107,0
5584,20,26,0
5584,72,78,0
5584,107,113,0
594,121,127,0
2203,65,71,0
936,33,39,0
936,141,147,0
615,15,21,0
3422,30,36,0
