seq_index,start_position,end_position,is_reversed_complement
184,19,28,0
184,31,40,0
4657,27,36,0
4657,39,48,0
2387,49,58,0
2387,61,70,0
1641,35,44,0
1641,47,56,0
1641,47,56,0
1641,59,68,0
5006,51,60,0
5006,63,72,0
4997,56,65,0
4997,68,77,0
2475,65,74,0
2475,77,86,0
2157,132,141,0
2157,144,153,0
3683,49,58,0
3683,61,70,0
4525,98,107,0
4525,110,119,0
6041,38,47,0
6041,50,59,0
3142,133,142,0
3142,145,154,0
4247,50,59,0
4247,62,71,0
4247,62,71,0
4247,74,83,0
4240,19,28,0
4240,31,40,0
4870,40,49,0
4870,52,61,0
1059,36,45,0
1059,48,57,0
2564,126,135,0
2564,138,147,0
3182,38,47,0
3182,50,59,0
4789,91,100,0
4789,103,112,0
5770,12,21,0
5770,24,33,0
2543,55,64,0
2543,67,76,0
752,28,37,0
752,40,49,0
2094,30,39,0
2094,42,51,0
4406,101,110,0
4406,113,122,0
37,77,86,0
37,89,98,0
3712,15,24,0
3712,27,36,0
5162,53,62,0
5162,65,74,0
4561,60,69,0
4561,72,81,0
4702,13,22,0
4702,25,34,0
5387,63,72,0
5387,75,84,0
1259,63,72,0
1259,75,84,0
2675,53,62,0
2675,65,74,0
2869,39,48,0
2869,51,60,0
4507,25,34,0
4507,37,46,0
5514,11,20,0
5514,23,32,0
5851,140,149,0
5851,152,161,0
1241,56,65,0
1241,68,77,0
36,19,28,0
36,31,40,0
2809,119,128,0
2809,131,140,0
2472,58,67,0
2472,70,79,0
4189,147,156,0
4189,159,168,0
2293,89,98,0
2293,101,110,0
1761,28,37,0
1761,40,49,0
997,37,46,0
997,49,58,0
2319,92,101,0
2319,104,113,0
4137,43,52,0
4137,55,64,0
400,118,127,0
400,130,139,0
62,37,46,0
62,49,58,0
4145,65,74,0
4145,77,86,0
91,99,108,0
91,111,120,0
5694,111,120,0
5694,123,132,0
2206,45,54,0
2206,57,66,0
5345,41,50,0
5345,53,62,0
3615,38,47,0
3615,50,59,0
1376,112,121,0
1376,124,133,0
372,103,112,0
372,115,124,0
2636,105,114,0
2636,117,126,0
2883,134,143,0
2883,146,155,0
976,105,114,0
976,117,126,0
4173,142,151,0
4173,154,163,0
389,105,114,0
389,117,126,0
3397,134,143,0
3397,146,155,0
3397,146,155,0
3397,158,167,0
1878,122,131,0
1878,134,143,0
1512,105,114,0
1512,117,126,0
4804,135,144,0
4804,147,156,0
3777,52,61,0
3777,64,73,0
5867,29,38,0
5867,41,50,0
3181,19,28,0
3181,31,40,0
5165,42,51,0
5165,54,63,0
4019,11,20,0
4019,23,32,0
4019,23,32,0
4019,35,44,0
3269,25,34,0
3269,37,46,0
1785,65,74,0
1785,77,86,0
5425,1,10,0
5425,13,22,0
2174,127,136,0
2174,139,148,0
3135,37,46,0
3135,49,58,0
2908,146,155,0
2908,158,167,0
3949,16,25,0
3949,28,37,0
3286,2,11,0
3286,14,23,0
950,57,66,0
950,69,78,0
1014,59,68,0
1014,71,80,0
1668,127,136,0
1668,139,148,0
1020,63,72,0
1020,75,84,0
3971,135,144,0
3971,147,156,0
3971,37,46,0
3971,49,58,0
3204,13,22,0
3204,25,34,0
3951,102,111,0
3951,114,123,0
5095,54,63,0
5095,66,75,0
1217,31,40,0
1217,43,52,0
414,91,100,0
414,103,112,0
2793,11,20,0
2793,23,32,0
2793,62,71,0
2793,74,83,0
2257,11,20,0
2257,23,32,0
1544,133,142,0
1544,145,154,0
5503,94,103,0
5503,106,115,0
177,117,126,0
177,129,138,0
1582,36,45,0
1582,48,57,0
2215,49,58,0
2215,61,70,0
5288,119,128,0
5288,131,140,0
5756,17,26,0
5756,29,38,0
1226,42,51,0
1226,54,63,0
4772,59,68,0
4772,71,80,0
