seq_index,start_position,end_position,is_reversed_complement
9317,1,8,0
9317,24,31,0
9317,59,66,0
11713,55,62,0
11713,78,85,0
11713,113,120,0
6866,9,16,0
6866,32,39,0
6866,67,74,0
6866,14,21,0
6866,37,44,0
6866,72,79,0
13391,6,13,0
13391,29,36,0
13391,64,71,0
11454,69,76,0
11454,92,99,0
11454,127,134,0
8233,83,90,0
8233,106,113,0
8233,141,148,0
4086,69,76,0
4086,92,99,0
4086,127,134,0
6158,51,58,0
6158,74,81,0
6158,109,116,0
1937,33,40,0
1937,56,63,0
1937,91,98,0
11264,46,53,0
11264,69,76,0
11264,104,111,0
1286,58,65,0
1286,81,88,0
1286,116,123,0
2354,71,78,0
2354,94,101,0
2354,129,136,0
6792,92,99,0
6792,115,122,0
6792,150,157,0
4461,39,46,0
4461,62,69,0
4461,97,104,0
3526,38,45,0
3526,61,68,0
3526,96,103,0
8071,30,37,0
8071,53,60,0
8071,88,95,0
2425,18,25,0
2425,41,48,0
2425,76,83,0
13374,24,31,0
13374,47,54,0
13374,82,89,0
4920,100,107,0
4920,123,130,0
4920,158,165,0
13420,37,44,0
13420,60,67,0
13420,95,102,0
2506,51,58,0
2506,74,81,0
2506,109,116,0
2506,56,63,0
2506,79,86,0
2506,114,121,0
6267,5,12,0
6267,28,35,0
6267,63,70,0
2521,90,97,0
2521,113,120,0
2521,148,155,0
13363,40,47,0
13363,63,70,0
13363,98,105,0
13363,96,103,0
13363,119,126,0
13363,154,161,0
11897,76,83,0
11897,99,106,0
11897,134,141,0
12943,53,60,0
12943,76,83,0
12943,111,118,0
5492,66,73,0
5492,89,96,0
5492,124,131,0
5492,89,96,0
5492,112,119,0
5492,147,154,0
3462,58,65,0
3462,81,88,0
3462,116,123,0
2766,44,51,0
2766,67,74,0
2766,102,109,0
169,44,51,0
169,67,74,0
169,102,109,0
169,64,71,0
169,87,94,0
169,122,129,0
6053,24,31,0
6053,47,54,0
6053,82,89,0
12009,76,83,0
12009,99,106,0
12009,134,141,0
6200,75,82,0
6200,98,105,0
6200,133,140,0
12352,45,52,0
12352,68,75,0
12352,103,110,0
6350,53,60,0
6350,76,83,0
6350,111,118,0
1605,56,63,0
1605,79,86,0
1605,114,121,0
6927,28,35,0
6927,51,58,0
6927,86,93,0
8093,39,46,0
8093,62,69,0
8093,97,104,0
12027,46,53,0
12027,69,76,0
12027,104,111,0
7370,14,21,0
7370,37,44,0
7370,72,79,0
1066,82,89,0
1066,105,112,0
1066,140,147,0
11530,3,10,0
11530,26,33,0
11530,61,68,0
8846,44,51,0
8846,67,74,0
8846,102,109,0
8241,84,91,0
8241,107,114,0
8241,142,149,0
4336,45,52,0
4336,68,75,0
4336,103,110,0
5038,35,42,0
