seq_index,start_position,end_position,is_reversed_complement
4985,78,83,0
7328,1,6,0
7328,4,9,0
7328,35,40,0
7328,65,70,0
4699,24,29,0
4699,45,50,0
4575,38,43,0
4575,62,67,0
7143,10,15,0
6072,62,67,0
6072,73,78,0
2287,3,8,0
2287,32,37,0
2287,38,43,0
2287,61,66,0
2287,66,71,0
1702,17,22,0
1955,1,6,0
1955,10,15,0
1955,21,26,0
1955,49,54,0
2349,3,8,0
2349,27,32,0
2349,76,81,0
7684,10,15,0
7684,24,29,0
7684,62,67,0
5974,9,14,0
5974,15,20,0
5974,22,27,0
5974,28,33,0
5974,45,50,0
5974,70,75,0
3405,3,8,0
3405,8,13,0
2840,28,33,0
2840,40,45,0
2840,75,80,0
686,14,19,0
7352,1,6,0
7352,51,56,0
184,21,26,0
1089,33,38,0
1089,74,79,0
2014,13,18,0
2014,26,31,0
2014,63,68,0
2014,69,74,0
7271,1,6,0
3292,1,6,0
3292,67,72,0
1703,20,25,0
1703,26,31,0
1703,36,41,0
1703,41,46,0
1703,44,49,0
1703,52,57,0
3219,9,14,0
3219,72,77,0
4887,55,60,0
4887,61,66,0
421,13,18,0
421,64,69,0
1265,18,23,0
1265,70,75,0
7343,1,6,0
7343,4,9,0
7343,10,15,0
7343,53,58,0
7343,73,78,0
182,4,9,0
182,21,26,0
182,24,29,0
182,33,38,0
182,63,68,0
7450,36,41,0
7450,54,59,0
1822,38,43,0
1822,46,51,0
1822,51,56,0
4029,22,27,0
4029,54,59,0
4029,60,65,0
4029,65,70,0
550,50,55,0
6651,1,6,0
6651,53,58,0
3323,5,10,0
3323,31,36,0
3323,51,56,0
3323,54,59,0
3323,59,64,0
3323,65,70,0
5434,59,64,0
3297,26,31,0
3645,74,79,0
3718,15,20,0
3718,47,52,0
6705,1,6,0
6705,57,62,0
3854,18,23,0
3854,24,29,0
3854,53,58,0
4583,8,13,0
4583,20,25,0
4583,79,84,0
636,37,42,0
729,9,14,0
729,34,39,0
729,37,42,0
3162,14,19,0
3162,45,50,0
7214,1,6,0
1049,9,14,0
1049,52,57,0
1049,73,78,0
7198,1,6,0
801,38,43,0
801,74,79,0
2988,6,11,0
2988,34,39,0
3761,1,6,0
3761,23,28,0
3761,42,47,0
3761,71,76,0
4356,10,15,0
4356,19,24,0
4356,34,39,0
6585,1,6,0
6585,19,24,0
6585,76,81,0
3407,43,48,0
3407,50,55,0
525,4,9,0
525,42,47,0
525,66,71,0
525,75,80,0
843,16,21,0
843,57,62,0
843,68,73,0
4737,66,71,0
4737,76,81,0
58,8,13,0
58,54,59,0
5639,9,14,0
6689,1,6,0
6689,8,13,0
6689,68,73,0
1170,36,41,0
2449,62,67,0
365,23,28,0
365,59,64,0
1101,14,19,0
1101,20,25,0
78,33,38,0
78,49,54,0
78,52,57,0
1387,61,66,0
2745,17,22,0
4526,39,44,0
3942,19,24,0
3942,28,33,0
3291,7,12,0
3291,56,61,0
3291,66,71,0
4237,1,6,0
4237,17,22,0
4237,41,46,0
4237,52,57,0
3650,56,61,0
6802,1,6,0
6802,27,32,0
6802,38,43,0
6802,69,74,0
6802,78,83,0
7437,59,64,0
7437,73,78,0
7653,49,54,0
6776,1,6,0
6776,5,10,0
6776,44,49,0
2782,32,37,0
2782,41,46,0
5000,6,11,0
5000,14,19,0
5000,47,52,0
5377,1,6,0
5377,42,47,0
5377,73,78,0
5377,76,81,0
6818,1,6,0
484,5,10,0
484,34,39,0
484,39,44,0
484,57,62,0
5857,11,16,0
7168,1,6,0
731,3,8,0
731,37,42,0
731,46,51,0
6514,1,6,0
6514,17,22,0
6514,32,37,0
6514,41,46,0
6097,14,19,0
7606,16,21,0
7606,41,46,0
7559,27,32,0
7559,58,63,0
3569,32,37,0
3569,64,69,0
1895,38,43,0
1895,55,60,0
5034,20,25,0
4168,28,33,0
4168,56,61,0
4168,76,81,0
5491,18,23,0
5491,42,47,0
3287,45,50,0
3287,55,60,0
3287,58,63,0
7291,1,6,0
7291,4,9,0
7291,33,38,0
7926,11,16,0
7926,31,36,0
7926,68,73,0
5822,25,30,0
5822,28,33,0
2085,4,9,0
2085,19,24,0
2085,26,31,0
2085,34,39,0
2085,66,71,0
1872,5,10,0
1872,8,13,0
1872,14,19,0
1872,23,28,0
1872,32,37,0
437,24,29,0
437,77,82,0
1768,8,13,0
1768,66,71,0
435,17,22,0
435,54,59,0
3381,23,28,0
6815,1,6,0
6815,50,55,0
7932,12,17,0
7932,51,56,0
7517,45,50,0
453,1,6,0
453,22,27,0
453,42,47,0
2981,11,16,0
2981,24,29,0
2981,47,52,0
2981,70,75,0
4950,15,20,0
6541,1,6,0
6541,6,11,0
6541,23,28,0
6541,28,33,0
6541,50,55,0
6541,63,68,0
6541,75,80,0
6977,46,51,0
6977,74,79,0
205,36,41,0
205,54,59,0
205,73,78,0
3043,14,19,0
3043,48,53,0
3043,51,56,0
3043,65,70,0
1051,2,7,0
1051,10,15,0
1051,53,58,0
1373,36,41,0
4816,70,75,0
7421,7,12,0
3586,19,24,0
3586,77,82,0
2774,1,6,0
2774,8,13,0
2774,36,41,0
6221,72,77,0
4782,8,13,0
4782,33,38,0
4782,58,63,0
4271,23,28,0
5584,1,6,0
5584,7,12,0
5584,65,70,0
1603,12,17,0
1603,38,43,0
7472,4,9,0
7472,33,38,0
2040,72,77,0
3088,8,13,0
3088,23,28,0
594,48,53,0
1905,21,26,0
1905,55,60,0
2203,78,83,0
6637,1,6,0
6637,28,33,0
6637,47,52,0
6637,54,59,0
936,23,28,0
936,47,52,0
324,7,12,0
324,23,28,0
324,42,47,0
615,24,29,0
3422,56,61,0
3422,76,81,0
5400,3,8,0
5400,44,49,0
5400,78,83,0
4802,40,45,0
4802,65,70,0
4802,68,73,0
2998,1,6,0
2998,35,40,0
2998,40,45,0
4050,10,15,0
6581,1,6,0
4671,16,21,0
4671,19,24,0
4671,32,37,0
4671,78,83,0
4279,38,43,0
4279,69,74,0
1220,8,13,0
144,14,19,0
144,34,39,0
7696,66,71,0
7885,11,16,0
7885,41,46,0
7885,76,81,0
1496,21,26,0
1496,67,72,0
4231,75,80,0
1844,11,16,0
1844,39,44,0
1844,50,55,0
1844,56,61,0
1844,68,73,0
5936,59,64,0
3727,25,30,0
3727,56,61,0
3147,4,9,0
3147,10,15,0
3147,15,20,0
3147,51,56,0
3147,76,81,0
5839,15,20,0
5839,53,58,0
5839,64,69,0
3808,3,8,0
3808,39,44,0
7292,1,6,0
7292,4,9,0
7292,18,23,0
7292,23,28,0
7292,54,59,0
7292,75,80,0
4341,9,14,0
4341,24,29,0
4341,36,41,0
5565,44,49,0
5565,69,74,0
7314,1,6,0
7314,68,73,0
969,27,32,0
969,35,40,0
969,44,49,0
1669,1,6,0
