seq_index,start_position,end_position,is_reversed_complement
11949,0,7,0
11949,14,21,0
11949,59,66,0
11949,89,96,0
11949,157,164,0
1702,0,7,0
1702,25,32,0
1702,27,34,0
1702,30,37,0
1702,88,95,0
1702,91,98,0
1702,115,122,0
1702,151,158,0
1702,154,161,0
1702,156,163,0
12426,16,23,0
12426,26,33,0
12426,38,45,0
12426,40,47,0
12426,70,77,0
12426,82,89,0
12426,114,121,0
12426,135,142,0
7684,1,8,0
7684,18,25,0
7684,94,101,0
7684,117,124,0
7684,119,126,0
7684,124,131,0
7684,129,136,0
7684,131,138,0
7684,145,152,0
7684,148,155,0
1089,9,16,0
1089,54,61,0
1089,57,64,0
1089,81,88,0
1089,84,91,0
1089,86,93,0
1089,92,99,0
1089,99,106,0
1089,107,114,0
1089,121,128,0
1089,127,134,0
1089,130,137,0
1089,141,148,0
1089,144,151,0
2014,6,13,0
2014,18,25,0
2014,21,28,0
2014,23,30,0
2014,37,44,0
2014,62,69,0
2014,67,74,0
2014,69,76,0
2014,76,83,0
2014,89,96,0
2014,91,98,0
2014,101,108,0
2014,108,115,0
2014,125,132,0
2014,127,134,0
2014,142,149,0
2014,143,150,0
11279,2,9,0
11279,7,14,0
3219,33,40,0
3219,39,46,0
3219,62,69,0
3219,65,72,0
3219,71,78,0
3219,73,80,0
3219,76,83,0
3219,81,88,0
3219,83,90,0
3219,106,113,0
3219,132,139,0
3219,154,161,0
11250,3,10,0
11250,26,33,0
11250,53,60,0
11250,70,77,0
11250,72,79,0
11250,73,80,0
11250,85,92,0
11250,87,94,0
11250,92,99,0
11250,94,101,0
11250,133,140,0
11250,148,155,0
421,138,145,0
421,156,163,0
4029,0,7,0
4029,17,24,0
4029,26,33,0
4029,34,41,0
4029,39,46,0
4029,56,63,0
4029,75,82,0
4029,78,85,0
4029,142,149,0
4029,144,151,0
4029,152,159,0
8059,40,47,0
8059,52,59,0
8059,61,68,0
8059,76,83,0
8059,81,88,0
8059,83,90,0
8659,21,28,0
3854,29,36,0
3854,50,57,0
3854,124,131,0
3854,127,134,0
3162,53,60,0
3162,71,78,0
3162,137,144,0
9522,53,60,0
9522,63,70,0
9522,67,74,0
2988,119,126,0
4356,38,45,0
4356,48,55,0
4356,49,56,0
4356,51,58,0
4356,84,91,0
4356,97,104,0
4356,115,122,0
4356,132,139,0
12796,49,56,0
8551,15,22,0
