seq_index,start_position,end_position,is_reversed_complement
7328,61,66,0
7328,71,76,0
7143,16,21,0
7143,26,31,0
3297,52,57,0
3297,62,67,0
3718,23,28,0
3718,33,38,0
1101,41,46,0
1101,51,56,0
4168,58,63,0
4168,68,73,0
1872,68,73,0
1872,78,83,0
1525,63,68,0
1525,73,78,0
5454,10,15,0
5454,20,25,0
7932,29,34,0
7932,39,44,0
2203,9,14,0
2203,19,24,0
3147,27,32,0
3147,37,42,0
157,12,17,0
157,22,27,0
1146,45,50,0
1146,55,60,0
3690,27,32,0
3690,37,42,0
216,30,35,0
216,40,45,0
1718,69,74,0
1718,79,84,0
2478,47,52,0
2478,57,62,0
4756,46,51,0
4756,56,61,0
7570,68,73,0
7570,78,83,0
2949,67,72,0
2949,77,82,0
355,64,69,0
355,74,79,0
3321,18,23,0
3321,28,33,0
1042,40,45,0
1042,50,55,0
5070,17,22,0
5070,27,32,0
1102,14,19,0
1102,24,29,0
607,29,34,0
607,39,44,0
607,69,74,0
607,79,84,0
2895,53,58,0
2895,63,68,0
4087,60,65,0
4087,70,75,0
4316,52,57,0
4316,62,67,0
7629,40,45,0
7629,50,55,0
6465,32,37,0
6465,42,47,0
1829,7,12,0
1829,17,22,0
1829,60,65,0
1829,70,75,0
2608,61,66,0
2608,71,76,0
562,6,11,0
562,16,21,0
5801,69,74,0
5801,79,84,0
428,68,73,0
428,78,83,0
428,65,70,0
428,75,80,0
733,64,69,0
733,74,79,0
3273,62,67,0
3273,72,77,0
2512,27,32,0
2512,37,42,0
4593,39,44,0
4593,49,54,0
1434,35,40,0
1434,45,50,0
4074,53,58,0
4074,63,68,0
134,2,7,0
134,12,17,0
6834,7,12,0
6834,17,22,0
6834,52,57,0
6834,62,67,0
3743,21,26,0
3743,31,36,0
1621,60,65,0
1621,70,75,0
3706,64,69,0
3706,74,79,0
5343,61,66,0
5343,71,76,0
6116,35,40,0
6116,45,50,0
2192,50,55,0
2192,60,65,0
7870,15,20,0
7870,25,30,0
1471,18,23,0
1471,28,33,0
1996,50,55,0
1996,60,65,0
3786,32,37,0
3786,42,47,0
5361,42,47,0
5361,52,57,0
1310,29,34,0
1310,39,44,0
4445,52,57,0
4445,62,67,0
4445,40,45,0
4445,50,55,0
4618,44,49,0
4618,54,59,0
1910,12,17,0
1910,22,27,0
915,16,21,0
915,26,31,0
6111,16,21,0
6111,26,31,0
5332,48,53,0
5332,58,63,0
2132,42,47,0
2132,52,57,0
2337,31,36,0
2337,41,46,0
4083,68,73,0
4083,78,83,0
361,67,72,0
361,77,82,0
7057,19,24,0
7057,29,34,0
4315,68,73,0
4315,78,83,0
3664,21,26,0
3664,31,36,0
3485,60,65,0
3485,70,75,0
5296,63,68,0
5296,73,78,0
392,61,66,0
392,71,76,0
4727,3,8,0
4727,13,18,0
5941,32,37,0
5941,42,47,0
1823,23,28,0
1823,33,38,0
4312,56,61,0
4312,66,71,0
1714,18,23,0
1714,28,33,0
5152,58,63,0
5152,68,73,0
6797,9,14,0
6797,19,24,0
6727,4,9,0
6727,14,19,0
6886,41,46,0
6886,51,56,0
7841,66,71,0
7841,76,81,0
4789,3,8,0
4789,13,18,0
2734,44,49,0
2734,54,59,0
7232,51,56,0
7232,61,66,0
1945,37,42,0
1945,47,52,0
3639,8,13,0
3639,18,23,0
1399,12,17,0
1399,22,27,0
1497,46,51,0
1497,56,61,0
4372,67,72,0
4372,77,82,0
6664,53,58,0
6664,63,68,0
6795,49,54,0
6795,59,64,0
6646,54,59,0
6646,64,69,0
5186,69,74,0
5186,79,84,0
1786,37,42,0
1786,47,52,0
6274,32,37,0
6274,42,47,0
6655,63,68,0
6655,73,78,0
1631,10,15,0
1631,20,25,0
1631,26,31,0
1631,36,41,0
4367,46,51,0
4367,56,61,0
1937,50,55,0
1937,60,65,0
1212,64,69,0
1212,74,79,0
1640,63,68,0
1640,73,78,0
4255,34,39,0
4255,44,49,0
4255,49,54,0
4255,59,64,0
5218,32,37,0
5218,42,47,0
1939,16,21,0
1939,26,31,0
4500,15,20,0
4500,25,30,0
2709,63,68,0
2709,73,78,0
6596,6,11,0
6596,16,21,0
5872,13,18,0
5872,23,28,0
4484,69,74,0
4484,79,84,0
5023,51,56,0
5023,61,66,0
7182,35,40,0
7182,45,50,0
3382,14,19,0
3382,24,29,0
6432,44,49,0
6432,54,59,0
6902,41,46,0
