seq_index,start_position,end_position,is_reversed_complement
1474,51,58,0
1474,74,81,0
1474,93,100,0
5118,73,80,0
5118,96,103,0
5118,115,122,0
4487,73,80,0
4487,96,103,0
4487,115,122,0
5332,73,80,0
5332,96,103,0
5332,115,122,0
2571,19,26,0
2571,42,49,0
2571,61,68,0
4159,25,32,0
4159,48,55,0
4159,67,74,0
4250,34,41,0
4250,57,64,0
4250,76,83,0
532,86,93,0
532,109,116,0
532,128,135,0
1590,67,74,0
1590,90,97,0
1590,109,116,0
6085,12,19,0
6085,35,42,0
6085,54,61,0
2600,73,80,0
2600,96,103,0
2600,115,122,0
3145,31,38,0
3145,54,61,0
3145,73,80,0
4137,54,61,0
4137,77,84,0
4137,96,103,0
3322,34,41,0
3322,57,64,0
3322,76,83,0
4016,14,21,0
4016,37,44,0
4016,56,63,0
5689,73,80,0
5689,96,103,0
5689,115,122,0
735,117,124,0
735,140,147,0
735,159,166,0
4120,54,61,0
4120,77,84,0
4120,96,103,0
2790,76,83,0
2790,99,106,0
2790,118,125,0
3008,117,124,0
3008,140,147,0
3008,159,166,0
3833,73,80,0
3833,96,103,0
3833,115,122,0
5914,43,50,0
5914,66,73,0
5914,85,92,0
3388,116,123,0
3388,139,146,0
3388,158,165,0
4099,74,81,0
4099,97,104,0
4099,116,123,0
