seq_index,start_position,end_position,is_reversed_complement
5801,33,38,0
5801,59,64,0
5801,65,70,0
6691,15,20,0
6691,41,46,0
6691,47,52,0
7698,4,9,0
7698,30,35,0
7698,36,41,0
2396,7,12,0
2396,33,38,0
2396,39,44,0
6868,42,47,0
6868,68,73,0
6868,74,79,0
4928,37,42,0
4928,63,68,0
4928,69,74,0
4810,35,40,0
4810,61,66,0
4810,67,72,0
1519,45,50,0
1519,71,76,0
1519,77,82,0
1482,17,22,0
1482,43,48,0
1482,49,54,0
7594,2,7,0
7594,28,33,0
7594,34,39,0
6680,35,40,0
6680,61,66,0
6680,67,72,0
7610,2,7,0
7610,28,33,0
7610,34,39,0
7206,46,51,0
7206,72,77,0
7206,78,83,0
4688,25,30,0
4688,51,56,0
4688,57,62,0
3884,21,26,0
3884,47,52,0
3884,53,58,0
