seq_index,start_position,end_position,is_reversed_complement
4985,0,9,0
4985,103,112,0
4575,136,145,0
6072,32,41,0
6072,139,148,0
6072,154,163,0
2287,60,69,0
2287,76,85,0
2287,124,133,0
2287,152,161,0
1702,19,28,0
1955,39,48,0
1955,117,126,0
2349,3,12,0
2349,76,85,0
2349,147,156,0
2349,153,162,0
3405,76,85,0
3405,156,165,0
2840,100,109,0
2875,16,25,0
2875,73,82,0
686,151,160,0
184,130,139,0
184,152,161,0
1089,72,81,0
1089,121,130,0
2014,100,109,0
3292,16,25,0
3292,93,102,0
3292,120,129,0
1703,36,45,0
3219,27,36,0
4887,89,98,0
4887,96,105,0
421,35,44,0
421,119,128,0
1265,76,85,0
1265,121,130,0
182,13,22,0
182,58,67,0
182,76,85,0
182,126,135,0
182,146,155,0
182,154,163,0
1822,8,17,0
1822,66,75,0
1822,110,119,0
4029,0,9,0
4029,38,47,0
4029,48,57,0
4029,76,85,0
550,76,85,0
3323,63,72,0
3323,157,166,0
2118,66,75,0
2118,107,116,0
5434,100,109,0
3297,104,113,0
3645,22,31,0
3645,26,35,0
3645,64,73,0
3645,129,138,0
3718,131,140,0
4583,98,107,0
4583,128,137,0
4583,151,160,0
636,40,49,0
636,109,118,0
3162,40,49,0
3162,66,75,0
3162,113,122,0
1049,39,48,0
1049,76,85,0
1049,133,142,0
1049,137,146,0
1275,36,45,0
1275,109,118,0
801,126,135,0
801,144,153,0
2988,128,137,0
3761,86,95,0
4356,26,35,0
4356,34,43,0
4356,98,107,0
4356,148,157,0
3407,95,104,0
3407,148,157,0
102,22,31,0
102,62,71,0
525,127,136,0
843,129,138,0
4737,76,85,0
58,8,17,0
5639,47,56,0
5639,110,119,0
5639,118,127,0
1170,29,38,0
1170,45,54,0
1170,67,76,0
2449,76,85,0
2449,125,134,0
2449,149,158,0
365,3,12,0
365,15,24,0
1101,24,33,0
1101,76,85,0
78,43,52,0
78,48,57,0
78,57,66,0
78,76,85,0
78,87,96,0
78,136,145,0
78,145,154,0
1387,34,43,0
1387,141,150,0
2745,50,59,0
2745,67,76,0
4526,2,11,0
4526,41,50,0
4526,106,115,0
3942,47,56,0
3650,9,18,0
3650,59,68,0
3650,125,134,0
3650,158,167,0
2919,115,124,0
5377,76,85,0
5377,88,97,0
5857,22,31,0
5857,76,85,0
5857,133,142,0
731,93,102,0
731,116,125,0
6097,47,56,0
3569,18,27,0
3569,63,72,0
3569,71,80,0
3569,158,167,0
5034,76,85,0
5491,34,43,0
5491,66,75,0
5491,104,113,0
5491,131,140,0
3287,7,16,0
3287,76,85,0
5977,76,85,0
5822,76,85,0
5822,146,155,0
2085,11,20,0
1872,20,29,0
1872,88,97,0
1872,121,130,0
1872,136,145,0
437,48,57,0
1525,3,12,0
1525,116,125,0
1525,140,149,0
1768,16,25,0
435,76,85,0
435,109,118,0
3381,128,137,0
3381,154,163,0
5454,4,13,0
453,38,47,0
453,107,116,0
2981,76,85,0
205,47,56,0
205,76,85,0
205,113,122,0
3043,60,69,0
3043,130,139,0
3043,152,161,0
1051,68,77,0
1051,76,85,0
1051,153,162,0
1051,157,166,0
1373,124,133,0
4816,154,163,0
3586,139,148,0
4271,55,64,0
4271,76,85,0
4271,145,154,0
5584,27,36,0
5584,49,58,0
5584,76,85,0
5584,151,160,0
1603,62,71,0
2040,125,134,0
3088,118,127,0
3088,135,144,0
594,108,117,0
1905,12,21,0
1905,143,152,0
2203,68,77,0
2203,76,85,0
936,50,59,0
936,59,68,0
936,121,130,0
936,125,134,0
936,145,154,0
324,129,138,0
615,69,78,0
615,145,154,0
3422,56,65,0
3422,121,130,0
4802,115,124,0
4802,125,134,0
2998,20,29,0
2998,58,67,0
4050,40,49,0
4050,76,85,0
4050,91,100,0
4671,89,98,0
4671,138,147,0
4279,98,107,0
4279,133,142,0
4279,159,168,0
1220,47,56,0
1220,76,85,0
1220,134,143,0
144,1,10,0
1496,3,12,0
1496,64,73,0
4231,85,94,0
4231,107,116,0
1844,1,10,0
1844,31,40,0
1844,76,85,0
1844,107,116,0
1844,131,140,0
1844,156,165,0
5936,62,71,0
5936,128,137,0
3727,127,136,0
5839,76,85,0
3808,10,19,0
3808,76,85,0
4059,155,164,0
5565,3,12,0
5565,33,42,0
969,110,119,0
969,146,155,0
1669,28,37,0
4917,57,66,0
157,92,101,0
1660,14,23,0
895,63,72,0
895,76,85,0
895,95,104,0
895,138,147,0
895,153,162,0
2712,58,67,0
2712,89,98,0
2712,136,145,0
586,86,95,0
586,140,149,0
3506,116,125,0
4155,31,40,0
4155,59,68,0
4155,72,81,0
1069,76,85,0
1069,136,145,0
3139,5,14,0
3139,48,57,0
5850,27,36,0
5850,49,58,0
2302,37,46,0
2302,66,75,0
117,17,26,0
117,30,39,0
117,45,54,0
5348,53,62,0
