seq_index,start_position,end_position,is_reversed_complement
2014,21,27,0
2014,29,35,0
3219,118,124,0
3219,126,132,0
2118,28,34,0
2118,36,42,0
5434,153,159,0
5434,161,167,0
4526,45,51,0
4526,53,59,0
324,139,145,0
324,147,153,0
1220,25,31,0
1220,33,39,0
5565,48,54,0
5565,56,62,0
1660,129,135,0
1660,137,143,0
1273,146,152,0
1273,154,160,0
3051,14,20,0
3051,22,28,0
4795,27,33,0
4795,35,41,0
2420,139,145,0
2420,147,153,0
4124,154,160,0
4124,162,168,0
4642,149,155,0
4642,157,163,0
4725,6,12,0
4725,14,20,0
5840,121,127,0
5840,129,135,0
5840,108,114,0
5840,116,122,0
5997,36,42,0
5997,44,50,0
1641,28,34,0
1641,36,42,0
4876,31,37,0
4876,39,45,0
4876,20,26,0
4876,28,34,0
3321,105,111,0
3321,113,119,0
6110,11,17,0
6110,19,25,0
5810,49,55,0
5810,57,63,0
5070,32,38,0
5070,40,46,0
240,129,135,0
240,137,143,0
235,90,96,0
235,98,104,0
232,49,55,0
232,57,63,0
5789,140,146,0
5789,148,154,0
2608,6,12,0
2608,14,20,0
247,67,73,0
247,75,81,0
5148,129,135,0
5148,137,143,0
5148,6,12,0
5148,14,20,0
4957,142,148,0
4957,150,156,0
2080,24,30,0
2080,32,38,0
922,128,134,0
922,136,142,0
5622,151,157,0
5622,159,165,0
1040,7,13,0
1040,15,21,0
1441,90,96,0
1441,98,104,0
1441,133,139,0
1441,141,147,0
2584,12,18,0
2584,20,26,0
5972,66,72,0
5972,74,80,0
1742,45,51,0
1742,53,59,0
1941,97,103,0
1941,105,111,0
3860,115,121,0
3860,123,129,0
2795,129,135,0
2795,137,143,0
973,11,17,0
973,19,25,0
1487,57,63,0
1487,65,71,0
4753,14,20,0
4753,22,28,0
1251,110,116,0
1251,118,124,0
3119,42,48,0
3119,50,56,0
5950,27,33,0
5950,35,41,0
4428,10,16,0
4428,18,24,0
270,139,145,0
270,147,153,0
2192,117,123,0
2192,125,131,0
1550,150,156,0
1550,158,164,0
1550,37,43,0
1550,45,51,0
8,121,127,0
8,129,135,0
1002,46,52,0
1002,54,60,0
2250,17,23,0
2250,25,31,0
5625,55,61,0
5625,63,69,0
1177,30,36,0
1177,38,44,0
2922,133,139,0
2922,141,147,0
2422,93,99,0
2422,101,107,0
5932,102,108,0
5932,110,116,0
1290,60,66,0
1290,68,74,0
1290,95,101,0
1290,103,109,0
2337,14,20,0
2337,22,28,0
1416,43,49,0
1416,51,57,0
1852,12,18,0
1852,20,26,0
361,6,12,0
361,14,20,0
1615,1,7,0
1615,9,15,0
4025,27,33,0
4025,35,41,0
4025,24,30,0
4025,32,38,0
3776,8,14,0
3776,16,22,0
4112,115,121,0
4112,123,129,0
4501,127,133,0
4501,135,141,0
957,145,151,0
957,153,159,0
3161,27,33,0
3161,35,41,0
3161,102,108,0
3161,110,116,0
269,114,120,0
269,122,128,0
32,47,53,0
32,55,61,0
526,28,34,0
526,36,42,0
281,143,149,0
281,151,157,0
5709,110,116,0
5709,118,124,0
4675,90,96,0
4675,98,104,0
3649,139,145,0
3649,147,153,0
5160,11,17,0
5160,19,25,0
2727,51,57,0
2727,59,65,0
2450,3,9,0
2450,11,17,0
947,111,117,0
947,119,125,0
3087,143,149,0
3087,151,157,0
3256,31,37,0
