seq_index,start_position,end_position,is_reversed_complement
4699,36,43,0
4699,54,61,0
4699,59,66,0
4699,66,73,0
4699,73,80,0
4575,56,63,0
4575,125,132,0
6072,160,167,0
2287,24,31,0
2287,29,36,0
2287,36,43,0
2287,55,62,0
2287,80,87,0
2287,110,117,0
1702,21,28,0
1702,30,37,0
1702,55,62,0
1702,135,142,0
1955,28,35,0
2349,44,51,0
5974,10,17,0
5974,21,28,0
5974,67,74,0
5974,74,81,0
5974,108,115,0
2840,49,56,0
2840,73,80,0
2840,114,121,0
2840,136,143,0
2875,110,117,0
686,41,48,0
686,46,53,0
184,7,14,0
184,32,39,0
184,56,63,0
184,61,68,0
1089,52,59,0
1089,59,66,0
1089,66,73,0
1089,73,80,0
1089,95,102,0
1089,101,108,0
1703,29,36,0
3219,40,47,0
3219,48,55,0
4887,35,42,0
4887,96,103,0
4887,107,114,0
4887,115,122,0
421,10,17,0
421,21,28,0
421,73,80,0
421,115,122,0
1265,4,11,0
1265,58,65,0
1265,73,80,0
182,102,109,0
182,141,148,0
1822,24,31,0
1822,66,73,0
1822,73,80,0
1822,95,102,0
4029,21,28,0
4029,119,126,0
550,7,14,0
550,104,111,0
550,129,136,0
3323,8,15,0
2118,67,74,0
2118,88,95,0
2118,95,102,0
2118,156,163,0
5434,91,98,0
5434,93,100,0
3297,43,50,0
3297,63,70,0
3297,137,144,0
3645,9,16,0
3645,31,38,0
3645,143,150,0
3718,35,42,0
3718,52,59,0
3718,66,73,0
3718,73,80,0
3718,95,102,0
3718,101,108,0
3718,145,152,0
3854,64,71,0
4583,49,56,0
4583,86,93,0
4583,125,132,0
636,24,31,0
636,43,50,0
636,54,61,0
636,86,93,0
636,128,135,0
729,154,161,0
3162,21,28,0
3162,66,73,0
1049,25,32,0
1049,43,50,0
1049,66,73,0
1049,73,80,0
1049,158,165,0
1275,21,28,0
1275,106,113,0
1275,127,134,0
801,42,49,0
801,74,81,0
2988,4,11,0
2988,65,72,0
2988,148,155,0
3761,54,61,0
