seq_index,start_position,end_position
1952,50,61
1952,72,83
686,50,61
686,72,83
2359,50,61
2359,72,83
3569,50,61
3569,72,83
2340,28,39
2340,50,61
456,28,39
456,50,61
898,50,61
898,72,83
546,50,61
546,72,83
1882,50,61
1882,72,83
535,50,61
535,72,83
724,50,61
724,72,83
770,50,61
770,72,83
543,50,61
543,72,83
1830,50,61
1830,72,83
1522,50,61
1522,72,83
217,28,39
217,50,61
1861,50,61
1861,72,83
3131,50,61
3131,72,83
425,50,61
425,72,83
574,50,61
574,72,83
1305,28,39
1305,50,61
749,50,61
749,72,83
378,50,61
378,72,83
583,50,61
583,72,83
996,50,61
996,72,83
1075,50,61
1075,72,83
747,50,61
747,72,83
500,50,61
500,72,83
2047,50,61
2047,72,83
3388,28,39
3388,50,61
738,50,61
738,72,83
3122,50,61
3122,72,83
1820,50,61
1820,72,83
802,50,61
802,72,83
624,50,61
624,72,83
1854,50,61
1854,72,83
710,50,61
710,72,83
1953,50,61
1953,72,83
763,50,61
763,72,83
3541,50,61
3541,72,83
3265,49,60
3265,71,82
525,50,61
525,72,83
615,50,61
615,72,83
761,50,61
761,72,83
586,50,61
586,72,83
216,50,61
216,72,83
60,28,39
60,50,61
649,50,61
649,72,83
743,50,61
743,72,83
1179,28,39
1179,50,61
588,50,61
588,72,83
1898,28,39
1898,50,61
1885,28,39
1885,50,61
775,50,61
775,72,83
905,50,61
905,72,83
1957,50,61
1957,72,83
3170,28,39
3170,50,61
1,50,61
1,72,83
2704,28,39
2704,50,61
1842,50,61
1842,72,83
1476,28,39
1476,50,61
2325,50,61
2325,72,83
183,28,39
183,50,61
589,50,61
589,72,83
997,77,88
997,99,110
1933,50,61
1933,72,83
582,50,61
582,72,83
1536,8,19
1536,30,41
2734,49,60
2734,71,82
1880,50,61
1880,72,83
1804,50,61
1804,72,83
602,50,61
602,72,83
1306,50,61
1306,72,83
523,50,61
523,72,83
1194,50,61
1194,72,83
1521,28,39
1521,50,61
3366,28,39
3366,50,61
1178,50,61
1178,72,83
560,50,61
560,72,83
174,50,61
174,72,83
2765,3,14
2765,25,36
