seq_index,start_position,end_position,is_reversed_complement
11279,121,128,0
11279,144,151,0
421,93,100,0
421,116,123,0
8059,1,8,0
8059,24,31,0
8059,95,102,0
8059,118,125,0
3854,21,28,0
3854,44,51,0
9151,23,30,0
9151,46,53,0
6802,9,16,0
6802,32,39,0
2919,89,96,0
2919,112,119,0
7709,43,50,0
7709,66,73,0
11844,108,115,0
11844,131,138,0
1373,18,25,0
1373,41,48,0
1373,68,75,0
1373,91,98,0
9557,44,51,0
9557,67,74,0
12634,103,110,0
12634,126,133,0
13555,97,104,0
13555,120,127,0
1146,62,69,0
1146,85,92,0
3876,83,90,0
3876,106,113,0
4642,59,66,0
4642,82,89,0
6763,58,65,0
6763,81,88,0
4116,36,43,0
4116,59,66,0
1397,63,70,0
1397,86,93,0
7875,39,46,0
7875,62,69,0
6897,121,128,0
6897,144,151,0
7089,115,122,0
7089,138,145,0
7089,105,112,0
7089,128,135,0
5559,45,52,0
5559,68,75,0
4363,108,115,0
4363,131,138,0
11454,105,112,0
11454,128,135,0
11454,2,9,0
11454,25,32,0
5752,2,9,0
5752,25,32,0
1580,56,63,0
1580,79,86,0
7106,48,55,0
7106,71,78,0
4086,32,39,0
4086,55,62,0
9509,132,139,0
9509,155,162,0
10057,7,14,0
10057,30,37,0
9480,114,121,0
9480,137,144,0
8311,9,16,0
8311,32,39,0
6036,65,72,0
6036,88,95,0
2183,62,69,0
2183,85,92,0
1,4,11,0
1,27,34,0
13173,110,117,0
13173,133,140,0
13173,111,118,0
13173,134,141,0
6090,36,43,0
6090,59,66,0
10076,29,36,0
10076,52,59,0
10297,108,115,0
10297,131,138,0
1280,22,29,0
1280,45,52,0
9334,9,16,0
9334,32,39,0
13113,61,68,0
13113,84,91,0
13113,97,104,0
13113,120,127,0
6308,69,76,0
6308,92,99,0
7043,47,54,0
7043,70,77,0
4808,112,119,0
4808,135,142,0
1313,27,34,0
1313,50,57,0
11245,69,76,0
11245,92,99,0
4166,22,29,0
4166,45,52,0
1192,63,70,0
1192,86,93,0
3832,30,37,0
3832,53,60,0
269,82,89,0
269,105,112,0
1947,129,136,0
1947,152,159,0
8173,24,31,0
8173,47,54,0
8066,17,24,0
8066,40,47,0
10999,67,74,0
10999,90,97,0
7713,27,34,0
7713,50,57,0
8668,55,62,0
8668,78,85,0
11190,66,73,0
11190,89,96,0
7487,7,14,0
7487,30,37,0
4411,71,78,0
4411,94,101,0
3990,111,118,0
3990,134,141,0
6285,41,48,0
6285,64,71,0
8673,49,56,0
8673,72,79,0
8673,25,32,0
8673,48,55,0
2605,119,126,0
2605,142,149,0
2667,122,129,0
2667,145,152,0
3527,113,120,0
3527,136,143,0
9939,106,113,0
9939,129,136,0
2461,112,119,0
2461,135,142,0
8949,65,72,0
8949,88,95,0
1937,116,123,0
1937,139,146,0
3859,110,117,0
3859,133,140,0
11432,105,112,0
11432,128,135,0
6978,68,75,0
6978,91,98,0
6103,54,61,0
6103,77,84,0
6145,76,83,0
6145,99,106,0
12288,100,107,0
12288,123,130,0
5638,108,115,0
5638,131,138,0
12273,8,15,0
12273,31,38,0
8322,83,90,0
8322,106,113,0
12210,113,120,0
12210,136,143,0
991,22,29,0
991,45,52,0
13444,74,81,0
13444,97,104,0
13444,98,105,0
13444,121,128,0
11496,14,21,0
11496,37,44,0
11483,59,66,0
11483,82,89,0
2835,121,128,0
2835,144,151,0
8465,95,102,0
8465,118,125,0
2546,113,120,0
2546,136,143,0
12978,120,127,0
12978,143,150,0
5062,72,79,0
5062,95,102,0
879,3,10,0
879,26,33,0
12617,36,43,0
12617,59,66,0
7665,1,8,0
7665,24,31,0
3856,103,110,0
3856,126,133,0
3856,26,33,0
3856,49,56,0
13152,18,25,0
13152,41,48,0
6429,112,119,0
6429,135,142,0
7720,4,11,0
7720,27,34,0
3365,7,14,0
3365,30,37,0
413,109,116,0
413,132,139,0
10875,78,85,0
10875,101,108,0
961,2,9,0
961,25,32,0
2073,87,94,0
2073,110,117,0
3157,92,99,0
3157,115,122,0
527,43,50,0
527,66,73,0
